# Global Fire Emissions Database version 5 (GFED5) summary table. Data available for 1997-2024.  
# Please see www.globalfiredata.org for more information or contact guido.vanderwerf@wur.nl  
# Note that fire emission estimates carry substantial uncertainty  
#  
# N2O emissions estimates in 1E9 g N2O for the globe, different regions, and different fire types 

All fire types combined: 
                                                                                                           Year                                                                               (Beta) (Beta)  '97-'24  
Region   1997   1998   1999   2000   2001   2002   2003   2004   2005   2006   2007   2008   2009   2010   2011   2012   2013   2014   2015   2016   2017   2018   2019   2020   2021   2022   2023   2024 |    Mean 
EQAS      222     53     22     22      8     24     17     37     18     72      6      6     33      4     23     27     12     54     91      6      3     14     48      3      2      1     18      3 |      31 
AUST        0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      1      0      0      0      0      0 |       0 
Global    238     75     40     39     16     31     31     55     36     87     21     23     49     19     35     47     27     66    108     27     17     26     72     28     20     19     38     28 |      47 


Agricultural waste burning: 

BONA        6      6      3      8      3      2      0      0      1      0      0      1      0      0      0      0      0      1      1      0      1      0      0      1      0      0      0      0 |       2 
TENA        1      2      1      1      2      1      2      2      2      2      2      2      2      2      2      2      1      1      2      2      2      1      1      2      1      1      2      2 |       2 
CEAM        1      3      1      1      2      2      2      2      2      2      2      2      2      1      2      1      2      1      1      2      2      1      1      1      1      1      2      1 |       2 
NHSA        0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0 |       0 
SHSA        3      3      3      2      3      3      4      3      3      3      3      3      2      3      2      2      2      1      1      1      2      1      2      2      1      1      1      2 |       3 
EURO        1      2      1      3      5      1      2      3      2      2      2      3      1      1      3      2      1      1      1      1      1      1      2      1      1      1      0      0 |       2 
MIDE        0      2      1      0      1      1      1      1      1      1      1      0      2      2      2      1      1      1      2      2      1      1      2      1      1      0      1      1 |       2 
NHAF       15     13     12     14     17     15     14     13     13     11     12     12     10      9     10      9      9      8      9     10      9      8      7      8      8      7      9      9 |      11 
SHAF        2      3      2      2      2      2      2      1      2      1      1      1      1      1      1      1      1      1      1      1      1      1      1      1      1      1      1      1 |       2 
BOAS        2      2      1      1      6      8      5      4      4      5      3      5      4      4      3      2      0      3      1      1      1      1      2      2      2      2      1      0 |       3 
TEAS        8      6      6      6     19     16     10     12     16     13     14     20     15     10      8      9      8     17     14      8     13      8      9      9      5      5      6      8 |      11 
SEAS        7      6      7      7      5      5      4      6      5      4      5      5      5      5      5      6      5      5      6      6      6      6      6      6      7      5      6      6 |       6 
EQAS        1      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0 |       0 
AUST        1      1      1      1      1      1      0      2      1      2      0      0      1      1      2      2      1      1      1      1      2      1      1      0      1      0      1      1 |       2 
Global     55     55     47     52     72     64     51     55     57     51     52     60     51     46     46     42     37     48     46     41     47     37     40     40     34     30     35     36 |      48 

