# Global Fire Emissions Database version 5 (GFED5) summary table. Data available for 1997-2024.  
# Please see www.globalfiredata.org for more information or contact guido.vanderwerf@wur.nl  
# Note that fire emission estimates carry substantial uncertainty  
#  
# CH4 emissions estimates in 1E10 g CH4 for the globe, different regions, and different fire types 

All fire types combined: 
                                                                                                           Year                                                                               (Beta) (Beta)  '97-'24  
Region   1997   1998   1999   2000   2001   2002   2003   2004   2005   2006   2007   2008   2009   2010   2011   2012   2013   2014   2015   2016   2017   2018   2019   2020   2021   2022   2023   2024 |    Mean 
BONA        9      9      5     11      4      3      1      0      1      1      1      1      1      1      1      1      0      1      1      1      1      1      0      1      1      0      0      0 |       2 
TENA        2      2      2      2      3      2      3      2      3      3      3      3      2      3      3      3      2      2      3      3      3      2      2      3      2      2      2      2 |       3 
CEAM        2      4      2      2      2      3      3      3      3      2      2      3      3      2      3      2      2      2      2      2      3      2      2      2      2      2      3      2 |       3 
NHSA        0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0 |       0 
SHSA        4      4      4      2      4      4      5      5      4      4      5      4      3      4      3      2      2      2      2      2      2      2      2      4      2      2      1      3 |       4 
EURO        2      3      2      4      7      2      2      4      3      3      3      4      2      2      4      3      2      2      1      2      2      2      3      1      1      1      1      0 |       3 
MIDE        1      3      2      1      2      2      2      2      1      2      2      1      3      3      3      1      2      1      3      2      1      1      2      2      1      1      1      2 |       2 
NHAF       21     18     17     19     24     21     19     19     19     16     17     17     14     13     14     13     12     11     12     14     13     11     10     12     11     10     13     13 |      16 
SHAF        2      4      3      3      3      3      2      2      2      2      2      2      2      2      2      2      2      2      2      1      1      1      1      1      1      1      2      1 |       3 
BOAS        3      3      2      2      9     12      7      5      6      7      5      8      5      5      4      3      1      4      2      2      2      1      4      3      2      3      1      0 |       4 
TEAS       11      9      8      8     27     23     14     16     22     18     20     28     22     14     12     12     11     24     19     12     18     11     13     13      7      7      8     11 |      15 
SEAS       10      8     10     10      7      7      6      8      8      5      7      7      7      7      7      8      7      8      8      9      8      9      9      9     10      8      8      8 |       8 
EQAS        2      0      0      0      0      1      0      1      0      1      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0 |       1 
AUST        1      2      2      1      2      2      0      3      2      3      0      0      1      2      3      2      1      2      2      1      4      2      1      0      1      1      2      1 |       2 
Global     76     76     65     72    101     89     71     76     80     72     72     83     72     64     64     59     52     67     64     58     65     52     57     56     47     42     49     51 |      67 

