Name;CAS;Acronym;Formula;Lifetime (yr);Radiative efficiency (W m-2 ppb-1);AGWP20 (W m-2 yr kg-1);GWP20;AGWP100 (W m-2 yr kg-1);GWP100;AGWP500 (W m-2 yr kg-1);GWP500;AGTP50 (K kg-1);GTP50;AGTP100 (K kg-1);GTP100;CGTP50 (yr);CGTP100 (yr)
Octafluorocyclobutane;115-25-3;PFC-C-318;cyc (-CF2CF2CF2CF2-);3200;0.314;1.80E-10;7400;9.12E-10;10200;4.33E-09;13800;4.53E-12;10600;4.88E-12;12400;;
Decafluorobutane;355-25-9;PFC-31-10;n-C4F10;2600;0.369;1.78E-10;7300;8.97E-10;10000;4.20E-09;13400;4.46E-12;10400;4.78E-12;12100;;
Octafluorocyclopentene;559-40-0;;cyc (-CF2CF2CFCF2CF2-);1.1;0.246;6.84E-12;281;6.98E-12;78.1;6.99E-12;22.3;7.39E-15;17.3;5.57E-15;14.1;8000;9470
Dodecafluoropentane;678-26-2;PFC-41-12;n-C5F12;4100;0.408;1.63E-10;6680;8.25E-10;9220;3.97E-09;12700;4.10E-12;9580;4.43E-12;11200;;
Tetradecafluorohexane;355-42-0;PFC-51-14;n-C6F14;3100;0.449;1.52E-10;6260;7.71E-10;8620;3.66E-09;11600;3.83E-12;8960;4.12E-12;10500;;
Hexadecafluoroheptane;335-57-9;PFC-61-16;n-C7F16;3000;0.503;1.49E-10;6120;7.52E-10;8410;3.56E-09;11300;3.74E-12;8740;4.02E-12;10200;;
Octadecafluorooctane;307-34-6;PFC-71-18;n-C8F18;3000;0.558;1.46E-10;6010;7.39E-10;8260;3.50E-09;11100;3.67E-12;8590;3.95E-12;10000;;
1,1,2,2,3,3,4,4,4a,5,5,6,6,7,7,8,8,8a-octadecafluoronaphthalene;306-94-5;PFC-91-18;C10F18;2000;0.537;1.33E-10;5480;6.69E-10;7480;3.07E-09;9780;3.33E-12;7790;3.56E-12;9010;;
1,1,2,2,3,3,4,4,4a,5,5,6,6,7,7,8,8,8a-octadecafluoronaphthalene;60433-11-6;;Z-C10F18;2000;0.56;1.39E-10;5710;6.98E-10;7800;3.20E-09;10200;3.47E-12;8120;3.71E-12;9400;;
1,1,2,2,3,3,4,4,4a,5,5,6,6,7,7,8,8,8a-octadecafluoronaphthalene;60433-12-7;;E-C10F18;2000;0.512;1.27E-10;5220;6.37E-10;7120;2.92E-09;9310;3.17E-12;7420;3.39E-12;8580;;
1,1,2,2-tetrafluoroethene;116-14-3;PFC-1114;CF2=CF2;0.003;0.002;3.47E-16;0.014;3.54E-16;0.004;3.54E-16;0.001;3.71E-19;0.001;2.81E-19;0.001;0.406;0.481
1,1,2,3,3,3-hexafluoroprop-1-ene;116-15-4;PFC-1216;CF3CF=CF2;0.015;0.013;7.88E-15;0.324;8.04E-15;0.09;8.04E-15;0.026;8.42E-18;0.02;6.39E-18;0.016;9.23;10.9
1,1,2,3,4,4-hexafluorobuta-1,3-diene;685-63-2;;CF2=CFCF=CF2;0.003;0.003;3.47E-16;0.014;3.54E-16;0.004;3.54E-16;0.001;3.71E-19;0.001;2.82E-19;0.001;0.407;0.481
Octafluoro-1-butene;357-26-6;;CF3CF2CF=CF2;0.016;0.019;8.91E-15;0.366;9.09E-15;0.102;9.09E-15;0.029;9.52E-18;0.022;7.22E-18;0.018;10.4;12.3
Octafluoro-2-buene;360-89-4;;CF3CF=CFCF3;0.085;0.07;1.73E-13;7.1;1.76E-13;1.97;1.76E-13;0.562;1.85E-16;0.432;1.40E-16;0.355;202;239
Difluoromethoxy(trifluoro)methane;3822-68-2;HFE-125;CHF2OCF3;135;0.417;3.28E-10;13500;1.28E-09;14300;2.41E-09;7680;6.50E-12;15200;5.17E-12;13100;;
Difluoromethoxy(difluoro)methane;1691-17-4;HFE-134;CHF2OCHF2;26.9;0.449;3.10E-10;12700;5.93E-10;6630;6.10E-10;1940;2.37E-12;5530;8.14E-13;2060;;
Trifluoro(methoxy)methane;421-14-7;HFE-143a;CH3OCF3;4.9;0.189;5.28E-11;2170;5.51E-11;616;5.51E-11;176;6.11E-14;143;4.47E-14;113;62600;74300
1,1,1,2-tetrafluoro-2-(trifluoromethoxy)ethane;2356-62-9;HFE-227ea;CF3CHFOCF3;54.8;0.459;2.38E-10;9800;6.73E-10;7520;8.07E-10;2570;3.30E-12;7720;1.75E-12;4440;;
2-chloro-1-(difluoromethoxy)-1,1,2-trifluoroethane;13838-16-9;HCFE-235ca2;CHF2OCF2CHFCl;4.42;0.409;5.64E-11;2320;5.85E-11;654;5.85E-11;186;6.42E-14;150;4.73E-14;120;66500;78900
2-chloro-2-(difluoromethoxy)-1,1,1-trifluoroethane;26675-46-7;HCFE-235da2;CHF2OCHClCF3;3.5;0.426;4.69E-11;1930;4.82E-11;539;4.82E-11;154;5.22E-14;122;3.88E-14;98.4;54900;65100
2-(difluoromethoxy)-1,1,1,2-tetrafluoroethane;57041-67-5;HFE-236ea2;CHF2OCHFCF3;14.1;0.464;1.71E-10;7020;2.32E-10;2590;2.33E-10;741;5.37E-13;1260;2.06E-13;521;249000;308000
1,1,1-trifluoro-2-(trifluoromethoxy)ethane;20193-67-3;HFE-236fa;CF3CH2OCF3;7.5;0.371;8.94E-11;3670;9.87E-11;1100;9.88E-11;315;1.25E-13;291;8.11E-14;205;111000;133000
1,1,1,2,2-pentafluoro-2-methoxyethane;22410-44-2;HFE-245cb2;CF3CF2OCH3;5;0.336;6.40E-11;2630;6.69E-11;747;6.69E-11;213;7.43E-14;174;5.42E-14;137;75900;90100
1,1-difluoro-2-(trifluoromethoxy)ethane;84011-15-4;HFE-245fa1;CHF2CH2OCF3;6.7;0.314;7.72E-11;3170;8.36E-11;934;8.36E-11;266;9.98E-14;233;6.83E-14;173;94300;112000
2-(difluoromethoxy)-1,1,1-trifluoroethane;1885-48-9;HFE-245fa2;CHF2OCH2CF3;5.5;0.36;7.45E-11;3060;7.86E-11;878;7.86E-11;251;8.86E-14;207;6.39E-14;162;89000;106000
2,2,3,3,3-pentafluoropropan-1-ol;422-05-9;;CF3CF2CH2OH;0.471;0.164;3.00E-12;123;3.07E-12;34.3;3.07E-12;9.78;3.23E-15;7.54;2.44E-15;6.19;3520;4160
1,1,2,2-tetrafluoro-1-methoxyethane;425-88-7;HFE-254cb1;CH3OCF2CHF2;2.5;0.26;2.87E-11;1180;2.93E-11;328;2.93E-11;93.5;3.14E-14;73.4;2.35E-14;59.6;33500;39700
1,1,1-trifluoro-2-methoxyethane;460-43-5;HFE-263mf;CF3CH2OCH3;0.077;0.046;1.81E-13;7.43;1.84E-13;2.06;1.84E-13;0.588;1.93E-16;0.452;1.47E-16;0.371;212;250
Trifluoromethoxyethane;690-22-2;HFE-263m1;CF3OCH2CH3;0.397;0.126;2.56E-12;105;2.61E-12;29.2;2.61E-12;8.32;2.74E-15;6.42;2.08E-15;5.27;2990;3540
3,3,3-trifluoropropan-1-ol;2240-88-2;;CF3CH2CH2OH;0.041;0.026;5.44E-14;2.23;5.55E-14;0.62;5.55E-14;0.177;5.81E-17;0.136;4.41E-17;0.112;63.7;75.3
1,1,1,2,2-pentafluoro-2-(1,1,2,2-tetrafluoroethoxy)ethane;134769-21-4;HFE-329mcc2;CHF2CF2OCF2CF3;25;0.545;1.84E-10;7550;3.37E-10;3770;3.45E-10;1100;1.29E-12;3020;4.32E-13;1090;;
2-(difluoromethoxy)-1,1,1,3,3,3-hexafluoropropane;26103-08-2;HFE-338mmz1;(CF3)2CHOCHF2;22.3;0.452;1.58E-10;6500;2.72E-10;3040;2.76E-10;880;9.67E-13;2260;3.14E-13;797;;
1,1,1,2,2-pentafluoro-2-(2,2,2-trifluoroethoxy)ethane;156053-88-2;HFE-338mcf2;CF3CH2OCF2CF3;7.5;0.454;8.42E-11;3460;9.30E-11;1040;9.31E-11;297;1.17E-13;274;7.64E-14;194;105000;125000
1,1,1,3,3,3-hexafluoro-2-(fluoromethoxy)propane;28523-86-6;HFE-347mmz1;(CF3)2CHOCH2F;1.9;0.308;1.71E-11;702;1.75E-11;195;1.75E-11;55.7;1.86E-14;43.5;1.40E-14;35.4;20000;23600
1,1,1,2,2,3,3-heptafluoro-3-methoxypropane;375-03-1;HFE-347mcc3;CH3OCF2CF2CF3;5.1;0.339;4.92E-11;2020;5.15E-11;576;5.16E-11;164;5.74E-14;134;4.18E-14;106;58500;69400
1-(2,2-difluoroethoxy)-1,1,2,2,2-pentafluoroethane;171182-95-9;HFE-347mcf2;CHF2CH2OCF2CF3;6.7;0.431;7.96E-11;3270;8.62E-11;963;8.62E-11;275;1.03E-13;241;7.05E-14;179;97300;116000
1,1,2,2-tetrafluoro-1-(2,2,2-trifluoroethoxy)ethane;406-78-0;HFE-347pcf2;CHF2CF2OCH2CF3;6.1;0.482;8.21E-11;3370;8.76E-11;980;8.77E-11;279;1.01E-13;237;7.15E-14;181;99100;118000
1,1,1,2,3,3,3-heptafluoro-2-methoxypropane;22052-84-2;HFE-347mmy1;(CF3)2CFOCH3;3.7;0.318;3.41E-11;1400;3.51E-11;392;3.51E-11;112;3.81E-14;89;2.83E-14;71.8;40000;47400
1,1,1,2,3,3-hexafluoro-3-methoxypropane;382-34-3;HFE-356mec3;CH3OCF2CHFCF3;2.5;0.288;2.31E-11;949;2.36E-11;264;2.36E-11;75.3;2.53E-14;59.2;1.90E-14;48;27000;32000
1,1,1-trifluoro-2-(2,2,2-trifluoroethoxy)ethane;333-36-8;HFE-356mff2;CF3CH2OCH2CF3;0.351;0.19;2.14E-12;88;2.19E-12;24.4;2.19E-12;6.97;2.30E-15;5.37;1.74E-15;4.41;2510;2970
1-(2,2-difluoroethoxy)-1,1,2,2-tetrafluoroethane;50807-77-7;HFE-356pcf2;CHF2CH2OCF2CHF2;6;0.378;6.98E-11;2870;7.44E-11;831;7.44E-11;237;8.56E-14;200;6.06E-14;154;84100;100000
3-(difluoromethoxy)-1,1,2,2-tetrafluoropropane;35042-99-0;HFE-356pcf3;CHF2OCH2CF2CHF2;3.5;0.378;4.21E-11;1730;4.33E-11;484;4.33E-11;138;4.68E-14;110;3.49E-14;88.4;49300;58500
1,1,2,2,3,3-hexafluoro-1-methoxypropane;160620-20-2;HFE-356pcc3;CH3OCF2CF2CHF2;2.5;0.303;2.42E-11;995;2.48E-11;277;2.48E-11;79;2.66E-14;62.1;1.99E-14;50.4;28300;33500
1,1,1,3,3,3-hexafluoro-2-methoxypropane;13171-18-1;HFE-356mmz1;(CF3)2CHOCH3;0.178;0.125;7.13E-13;29.3;7.28E-13;8.13;7.28E-13;2.32;7.63E-16;1.78;5.78E-16;1.47;835;988
1,1,1,2,2-pentafluoro-3-methoxypropane;378-16-5;HFE-365mcf3;CF3CF2CH2OCH3;0.069;0.058;1.40E-13;5.77;1.43E-13;1.6;1.43E-13;0.457;1.50E-16;0.351;1.14E-16;0.289;164;195
1-ethoxy-1,1,2,2-tetrafluoroethane;512-51-6;HFE-374pc2;CHF2CF2OCH2CH3;0.208;0.132;1.10E-12;45;1.12E-12;12.5;1.12E-12;3.56;1.17E-15;2.74;8.89E-16;2.25;1280;1520
4,4,4-trifluorobutan-1-ol;461-18-7;;CF3(CH2)2CH2OH;0.015;0.006;4.33E-15;0.178;4.42E-15;0.049;4.42E-15;0.014;4.63E-18;0.011;3.51E-18;0.009;5.08;6.01
2,2,3,3,4,4,5,5-octafluorocyclopentan-1-ol;16621-87-7;;cyc (-(CF2)4CH(OH)-);0.301;0.156;1.20E-12;49.1;1.22E-12;13.6;1.22E-12;3.89;1.28E-15;3;9.71E-16;2.46;1400;1660
1-(difluoromethoxy)-2-[difluoromethoxy(difluoro)methoxy]-1,1,2,2-tetrafluoroethane;188690-77-9;HFE-43-10pccc124;CHF2OCF2OCF2CF2OCHF2;14.1;1.03;2.12E-10;8720;2.88E-10;3220;2.89E-10;920;6.67E-13;1560;2.55E-13;647;309000;383000
1,1,1,2,2,3,3,4,4-nonafluoro-4-methoxybutane;219484-64-7;HFE-449s1;C4F9OCH3;4.8;0.36;3.95E-11;1620;4.12E-11;460;4.12E-11;131;4.55E-14;106;3.34E-14;84.6;46700;55500
1,1,1,2,2,3,3,4,4-nonafluoro-4-methoxybutane;163702-07-6;n-HFE-7100;CF3CF2CF2CF2OCH3;4.8;0.425;4.67E-11;1920;4.86E-11;544;4.87E-11;155;5.38E-14;126;3.94E-14;99.9;55200;65600
2-(difluoromethoxymethyl)-1,1,1,2,3,3,3-heptafluoropropane;163702-08-7;i-HFE-7100;(CF3)2CFCF2OCH3;4.8;0.341;3.75E-11;1540;3.91E-11;437;3.91E-11;124;4.32E-14;101;3.17E-14;80.2;44300;52600
1-ethoxy-1,1,2,2,3,3,4,4,4-nonafluorobutane;163702-05-4;HFE-569sf2;C4F9OC2H5;0.8;0.301;5.32E-12;219;5.43E-12;60.7;5.43E-12;17.3;5.73E-15;13.4;4.33E-15;11;6220;7370
1-ethoxy-1,1,2,3,3,3-hexafluoro-2-(trifluoromethyl)propane;163702-06-5;i-HFE-7200;(CF3)2CFCF2OCH2CH3;0.63;0.216;3.01E-12;124;3.07E-12;34.3;3.07E-12;9.78;3.23E-15;7.56;2.45E-15;6.2;3520;4160
1,1,1,2,2,3,4,5,5,5-decafluoro-3-methoxy-4-(trifluoromethyl)pentane;132182-92-4;HFE-7300;(CF3)2CFCFOC2H5CF2CF2CF3;5.24;0.48;3.45E-11;1420;3.62E-11;405;3.62E-11;115;4.05E-14;94.7;2.94E-14;74.6;41100;48800
4-ethoxy-1,1,1,2,2,3,3,4,5,6,6,6-dodecafluoro-5-(trifluoromethyl)hexane;297730-93-9;HFE-7500;n-C3F7CFOC2H5CF(CF3)2;0.3;0.27;1.14E-12;47;1.17E-12;13;1.17E-12;3.72;1.22E-15;2.86;9.28E-16;2.35;1340;1580
Bis(difluoromethoxy)-difluoromethane;78522-47-1;HFE-236ca12;CHF2OCF2OCHF2;26.5;0.648;2.85E-10;11700;5.42E-10;6060;5.57E-10;1770;2.15E-12;5020;7.33E-13;1860;;
1,2-bis(difluoromethoxy)-1,1,2,2-tetrafluoroethane;188690-78-0;HFE-338pcc13;CHF2OCF2CF2OCHF2;13.4;0.87;2.23E-10;9180;2.97E-10;3320;2.97E-10;948;6.49E-13;1520;2.59E-13;657;321000;395000
1,1,1,3,3,3-hexafluoropropan-2-ol;920-66-1;HFIP;(CF3)2CHOH;1.9;0.274;1.80E-11;742;1.85E-11;206;1.85E-11;58.8;1.97E-14;46;1.48E-14;37.4;21100;25000
1-(difluoromethoxy)-2-[2-(difluoromethoxy)-1,1,2,2-tetrafluoroethoxy]-1,1,2,2-tetrafluoroethane;205367-61-9;HG-02;CHF2(OCF2CF2)2OCHF2;26.9;1.15;2.68E-10;11000;5.13E-10;5730;5.27E-10;1680;2.05E-12;4780;7.04E-13;1780;;
1,1,3,3,4,4,6,6,7,7,9,9,10,10,12,12-hexadecafluoro-2,5,8,11-tetraoxadodecane;173350-37-3;HG-03;CHF2(OCF2CF2)3OCHF2;26.9;1.43;2.50E-10;10300;4.79E-10;5350;4.92E-10;1570;1.91E-12;4470;6.57E-13;1660;;
2-ethenoxy-1,1,1-trifluoroethane;406-90-6;Fluroxene;CF3CH2OCH=CH2;0.01;0.011;5.05E-15;0.207;5.15E-15;0.058;5.15E-15;0.016;5.39E-18;0.013;4.09E-18;0.01;5.91;6.99
2-ethoxy-3,3,4,4,5-pentafluorotetrahydro-2,5-bis[1,2,2,2-tetrafluoro-1-(trifluoromethyl)ethyl]-furan;920979-28-8;;C12H5F19O2;0.81;0.489;4.27E-12;175;4.36E-12;48.7;4.36E-12;13.9;4.60E-15;10.7;3.47E-15;8.8;4990;5910
Difluoro(methoxy)methane;359-15-9;;CH3OCHF2;1.1;0.153;1.19E-11;491;1.22E-11;136;1.22E-11;38.9;1.29E-14;30.1;9.73E-15;24.7;14000;16500
1,1,2,2-tetrafluoro-1,2-dimethoxyethane;73287-23-7;HG'-01;CH3OCF2CF2OCH3;1.7;0.289;1.77E-11;727;1.81E-11;202;1.81E-11;57.7;1.92E-14;45;1.45E-14;36.7;20700;24500
1,1,2,2-Tetrafluoro-1-methoxyethane;485399-46-0;HG'-02;CH3O(CF2CF2O)2CH3;1.7;0.562;2.00E-11;823;2.05E-11;229;2.05E-11;65.3;2.18E-14;50.9;1.64E-14;41.5;23400;27700
1,1,2,2-tetrafluoro-1-methoxy-2-[1,1,2,2-tetrafluoro-2-(1,1,2,2-tetrafluoro-2-methoxyethoxy)ethoxy]ethane;485399-48-2;HG'-03;CH3O(CF2CF2O)3CH3;1.7;0.762;1.92E-11;789;1.96E-11;219;1.96E-11;62.5;2.09E-14;48.8;1.57E-14;39.8;22400;26600
1,1,1,2,3,3-hexafluoro-3-(trifluoromethoxy)propane;428454-68-6;HFE-329me3;CF3CFHCF2OCF3;33.6;0.489;1.80E-10;7410;3.93E-10;4390;4.16E-10;1330;1.73E-12;4040;6.71E-13;1700;;
3,3,4,4,5,5,6,6,7,7,7-undecafluoroheptan-1-ol;185689-57-0;;CF3(CF2)4CH2CH2OH;0.047;0.054;4.68E-14;1.92;4.77E-14;0.533;4.77E-14;0.152;5.00E-17;0.117;3.79E-17;0.096;54.8;64.8
3,3,4,4,5,5,6,6,7,7,8,8,9,9,9-pentadecafluorononan-1-ol;755-02-2;;CF3(CF2)6CH2CH2OH;0.047;0.06;3.93E-14;1.62;4.01E-14;0.449;4.02E-14;0.128;4.21E-17;0.098;3.19E-17;0.081;46.1;54.5
3,3,4,4,5,5,6,6,7,7,8,8,9,9,10,10,11,11,11-nonadecafluoroundecan-1-ol;87017-97-8;;CF3(CF2)8CH2CH2OH;0.047;0.045;2.40E-14;0.985;2.45E-14;0.273;2.45E-14;0.078;2.56E-17;0.06;1.94E-17;0.049;28.1;33.2
2-chloro-1,1,2-trifluoro-1-methoxyethane;425-87-6;;CH3OCF2CHClF;1.43;0.211;1.19E-11;488;1.21E-11;136;1.21E-11;38.7;1.29E-14;30.1;9.70E-15;24.6;13900;16400
1‘«…(difluoro(trifluoromethoxy)methoxy)‘«…1,1,2,3,3,3‘«…hexafluoro‘«…2‘«…(trifluoromethoxy)propane;1309353-34-1;PFPMIE;CF3OCFCF3CF2OCF2OCF3;800;0.64;1.89E-10;7750;9.20E-10;10300;3.68E-09;11700;4.59E-12;10700;4.75E-12;12000;;
1,1,2-trifluoro-2-(trifluoromethoxy)ethene;1187-93-5;HFE-216;CF3OCF=CF2;0.004;0.006;9.09E-16;0.037;9.27E-16;0.01;9.28E-16;0.003;9.71E-19;0.002;7.37E-19;0.002;1.06;1.26
Perfluoroethyl formate;313064-40-3;;CF3CF2OCHO;3.6;0.408;5.19E-11;2130;5.34E-11;597;5.34E-11;170;5.79E-14;135;4.31E-14;109;60800;72100
2,2,2-trifluoroethyl formate;32042-38-9;;CF3CH2OCHO;0.548;0.192;4.80E-12;197;4.90E-12;54.8;4.90E-12;15.6;5.16E-15;12.1;3.90E-15;9.89;5620;6650
"Formic acid;1,1,1,3,3,3-hexafluoropropan-2-ol";856766-70-6;;(CF3)2CHOCHO;3.1;0.255;2.35E-11;964;2.40E-11;269;2.41E-11;76.7;2.59E-14;60.6;1.93E-14;49;27400;32500
Ethenyl 2,2,2-trifluoroacetate;433-28-3;;CF3COOCH=CH2;0.004;0.004;7.05E-16;0.029;7.19E-16;0.008;7.19E-16;0.002;7.52E-19;0.002;5.71E-19;0.001;0.825;0.976
Ethyl 2,2,2-trifluoroacetate;383-63-1;;CF3COOCH2CH3;0.06;0.056;1.39E-13;5.7;1.41E-13;1.58;1.42E-13;0.451;1.48E-16;0.347;1.12E-16;0.285;162;192
Prop-2-enyl 2,2,2-trifluoroacetate;383-67-5;;CF3COOCH2CH=CH2;0.003;0.005;6.36E-16;0.026;6.48E-16;0.007;6.49E-16;0.002;6.79E-19;0.002;5.15E-19;0.001;0.745;0.881
Methyl 2,2,2-trifluoroacetate;431-47-0;;CF3COOCH3;1;0.158;7.21E-12;296;7.36E-12;82.3;7.36E-12;23.5;7.78E-15;18.2;5.87E-15;14.9;8430;9980
2,2,3,3,4,4,4-heptafluorobutan-1-ol;375-01-9;;CF3CF2CF2CH2OH;0.55;0.199;3.20E-12;131;3.26E-12;36.5;3.26E-12;10.4;3.43E-15;8.03;2.60E-15;6.58;3740;4430
1,1,2-trifluoro-2-(trifluoromethoxy)ethane;84011-06-3;;CHF2CHFOCF3;9;0.353;9.76E-11;4010;1.13E-10;1260;1.13E-10;359;1.62E-13;379;9.33E-14;236;126000;151000
1-ethoxy-1,1,2,3,3,3-hexafluoropropane;380-34-7;;CF3CHFCF2OCH2CH3;0.403;0.193;2.32E-12;95.2;2.36E-12;26.4;2.37E-12;7.54;2.49E-15;5.81;1.88E-15;4.77;2710;3210
1,1,1,2,2,3,3-heptafluoro-3-(1,2,2,2-tetrafluoroethoxy)propane;3330-15-2;;CF3CF2CF2OCHFCF3;59.4;0.591;2.02E-10;8320;5.93E-10;6630;7.33E-10;2340;2.93E-12;6860;1.63E-12;4140;;
2,2,3,3-tetrafluoropropan-1-ol;76-37-9;;CHF2CF2CH2OH;0.255;0.112;1.27E-12;52;1.29E-12;14.4;1.29E-12;4.12;1.36E-15;3.17;1.03E-15;2.6;1480;1750
2,2,3,4,4,4-hexafluorobutan-1-ol;382-31-0;;CF3CHFCF2CH2OH;0.367;0.227;2.67E-12;110;2.73E-12;30.5;2.73E-12;8.69;2.87E-15;6.7;2.17E-15;5.5;3130;3700
1,1,2,2-tetrafluoro-3-methoxypropane;60598-17-6;;CHF2CF2CH2OCH3;0.071;0.052;1.47E-13;6.03;1.50E-13;1.68;1.50E-13;0.478;1.57E-16;0.367;1.19E-16;0.302;172;203
1,1,1,2,2,4,5,5,5-nonafluoro-4-(trifluoromethyl)pentan-3-one;756-13-8;;CF3CF2COCF(CF3)2;0.019;0.028;1.00E-14;0.411;1.02E-14;0.114;1.02E-14;0.033;1.07E-17;0.025;8.12E-18;0.021;11.7;13.9
3,3,3-trifluoropropanal;460-40-2;;CF3CH2CHO;0.008;0.005;2.21E-15;0.091;2.25E-15;0.025;2.25E-15;0.007;2.36E-18;0.006;1.79E-18;0.005;2.58;3.06
2-fluoroethanol;371-62-0;;CH2FCH2OH;0.044;0.012;4.65E-14;1.91;4.74E-14;0.53;4.74E-14;0.151;4.97E-17;0.116;3.77E-17;0.095;54.4;64.4
2,2-difluoroethanol;359-13-7;;CHF2CH2OH;0.167;0.046;5.42E-13;22.3;5.53E-13;6.18;5.53E-13;1.76;5.80E-16;1.36;4.40E-16;1.11;634;751
2,2,2-trifluoroethanol;75-89-8;;CF3CH2OH;0.458;0.117;3.13E-12;129;3.20E-12;35.7;3.20E-12;10.2;3.36E-15;7.86;2.54E-15;6.44;3660;4340
;173350-38-4;HG-04;CHF2O(CF2CF2O)4CHF2;26.9;1.46;2.04E-10;8400;3.92E-10;4380;4.03E-10;1280;1.56E-12;3660;5.38E-13;1360;;
Methyl-perfluoroheptene-ethers;;;CH3OC7F13;0.304;0.27;1.32E-12;54.4;1.35E-12;15.1;1.35E-12;4.3;1.42E-15;3.31;1.07E-15;2.72;1550;1830
1,1,1-trifluoropropan-2-one;421-50-1;;CF3COCH3;0.014;0.011;7.88E-15;0.324;8.04E-15;0.09;8.04E-15;0.026;8.41E-18;0.02;6.39E-18;0.016;9.23;10.9
1,1,1-trifluorobutan-2-one;381-88-4;;CF3COCH2CH3;0.018;0.01;8.34E-15;0.343;8.51E-15;0.095;8.51E-15;0.027;8.91E-18;0.021;6.76E-18;0.017;9.77;11.6
1-chloro-2-ethenoxyethane;110-75-8;2ClEVE;ClCH2CH2OCH=CH2;0;0.001;1.65E-17;0.001;1.68E-17;0;1.68E-17;0;1.76E-20;0;1.33E-20;0;0.019;0.023
Ethane;74-84-0;;C2H6;0.159;0.001;3.83E-14;1.57;3.91E-14;0.437;3.91E-14;0.125;4.10E-17;0.096;3.11E-17;0.079;44.8;53
Propane;74-98-6;;C3H8;0.036;0;1.75E-15;0.072;1.78E-15;0.02;1.78E-15;0.006;1.87E-18;0.004;1.41E-18;0.004;2.04;2.42
Butane;106-97-8;;n-C4H10;0.019;0;5.42E-16;0.022;5.53E-16;0.006;5.53E-16;0.002;5.79E-19;0.001;4.40E-19;0.001;0.635;0.751
2-methylpentan-3-one;565-69-5;;CH3CH2COCH(CH3)2;0.015;0.02;1.75E-14;0.719;1.79E-14;0.2;1.79E-14;0.057;1.87E-17;0.044;1.42E-17;0.036;20.5;24.3
Ethyl methyl ether;540-67-0;;CH3CH2OCH3;0.005;0.002;8.56E-16;0.035;8.73E-16;0.01;8.73E-16;0.003;9.14E-19;0.002;6.94E-19;0.002;1;1.19
2,2,3,3,4,4,5,5-octafluorooxolane;773-14-8;Octafluorooxolane;c-C4F8O;3000;0.463;2.46E-10;10100;1.24E-09;13900;5.89E-09;18800;6.18E-12;14500;6.65E-12;16900;;
Crotonaldehyde;4170-30-3;;CH3CH=CHCHO;0.001;0;0;0;0;0;0;0;0;0;0;0;0;0
Methyl vinyl ketone;78-94-4;MVK;CH3COCH=CH2;0.001;0;2.48E-17;0.001;2.53E-17;0;2.53E-17;0;2.64E-20;0;2.01E-20;0;0.029;0.034
Allyl ether;557-40-4;AE;(CH2=CHCH2)2O;0;0.001;1.19E-17;0;1.21E-17;0;1.21E-17;0;1.27E-20;0;9.65E-21;0;0.014;0.017
Allyl ethyl ether;557-31-3;AEE;CH3CH2OCH2CH=CH2;0.001;0.001;3.39E-17;0.001;3.46E-17;0;3.46E-17;0;3.62E-20;0;2.75E-20;0;0.04;0.047
(z)-hex-2-en-1-ol;928-94-9;;CH3CH2CH2CH=CHCH2OH;0;0.038;2.23E-16;0.009;2.28E-16;0.003;2.28E-16;0.001;2.38E-19;0.001;1.81E-19;0;0.261;0.309
(e)-hex-2-en-1-ol;928-95-0;;CH3CH2CH2CH=CHCH2OH;0;0.036;2.08E-16;0.009;2.12E-16;0.002;2.12E-16;0.001;2.22E-19;0.001;1.68E-19;0;0.243;0.288
3-butenenitrile;109-75-1;Allyl cyanide;CH2=CHCH2CN;0.002;0;4.08E-17;0.002;4.16E-17;0;4.16E-17;0;4.35E-20;0;3.30E-20;0;0.048;0.056
Hexamethyldisiloxane;107-46-0;;C6H18OSi2;0.025;0.047;4.18E-14;1.72;4.26E-14;0.476;4.26E-14;0.136;4.46E-17;0.104;3.39E-17;0.086;48.9;57.9
Octamethyltrisiloxane;107-51-7;;C8H24O2Si3;0.019;0.06;2.85E-14;1.17;2.90E-14;0.325;2.90E-14;0.093;3.04E-17;0.071;2.31E-17;0.058;33.3;39.4
Decamethyltetrasiloxane;141-62-8;;C10H30O3Si4;0.014;0.06;1.55E-14;0.635;1.58E-14;0.176;1.58E-14;0.05;1.65E-17;0.039;1.25E-17;0.032;18.1;21.4
Dodecamethylpentasiloxane;141-63-9;;C12H36O4Si5;0.011;0.064;1.07E-14;0.439;1.09E-14;0.122;1.09E-14;0.035;1.14E-17;0.027;8.67E-18;0.022;12.5;14.8
Hexamethylcyclotrisiloxane;541-05-9;;C6H18O3Si3;0.038;0.1;1.01E-13;4.14;1.03E-13;1.15;1.03E-13;0.328;1.08E-16;0.252;8.18E-17;0.207;118;140
Octamethylcyclotetrasiloxane;556-67-2;;C8H24O4Si4;0.027;0.12;6.48E-14;2.66;6.61E-14;0.739;6.61E-14;0.211;6.92E-17;0.162;5.25E-17;0.133;75.9;89.8
Decamethylcyclopentasiloxane;541-02-6;;C10H30O5Si5;0.016;0.098;2.53E-14;1.04;2.58E-14;0.289;2.58E-14;0.082;2.71E-17;0.063;2.05E-17;0.052;29.7;35.1
